year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,students_chronically_absent,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,grad_rate_midpt,school_id,seasch
mixed - most recent,1.1001E+11,Washington Global PCS,DC,Washington Global PCS,Middle,Regular school,Yes,38.88412,-77.019531,2,206,24,206,15,,1100503,185-263
mixed - most recent,1.10002E+11,Washington Latin PCS - MS,DC,Washington Latin PCS,Middle,Regular school,Yes,38.954029,-77.013902,0,366,63,366,48,,1100324,151-125
mixed - most recent,1.10002E+11,Washington Latin PCS - Upper School,DC,Washington Latin PCS,High,Regular school,Yes,38.954029,-77.013902,58,77,82,80,42,87,1100423,151-1118
mixed - most recent,1.1001E+11,Washington Leadership Academy PCS,DC,Washington Leadership Academy PCS,High,Regular school,Yes,38.928035,-76.99884,,85,27,83,17,Suppressed data,1100510,194-283
mixed - most recent,1.10003E+11,Washington Metropolitan HS,DC,District of Columbia Public Schools,Missing/not reported,Other/alternative school,No,38.920327,-77.016882,152,20,10,21,10,34,1100397,001-474
mixed - most recent,1.10008E+11,Washington Yu Ying PCS,DC,Washington Yu Ying PCS,Primary,Regular school,Yes,38.94139,-77.003671,18,202,56,202,57,,1100411,160-1117
mixed - most recent,1.10003E+11,Watkins ES (Capitol Hill Cluster),DC,District of Columbia Public Schools,Primary,Regular school,No,38.883538,-76.989942,54,259,48,258,44,,1100048,001-333
mixed - most recent,1.10003E+11,West Education Campus,DC,District of Columbia Public Schools,Primary,Regular school,No,38.943594,-77.030235,43,151,42,150,37,,1100067,001-336
mixed - most recent,1.10003E+11,Wheatley Education Campus,DC,District of Columbia Public Schools,Primary,Regular school,No,38.904014,-76.98857,140,146,27,145,7.5,,1100068,001-335
mixed - most recent,1.10003E+11,Whittier Education Campus,DC,District of Columbia Public Schools,Primary,Regular school,No,38.965908,-77.018994,110,169,42,167,42,,1100065,001-338
mixed - most recent,1.10003E+11,Woodrow Wilson HS,DC,District of Columbia Public Schools,High,Regular school,No,38.950001,-77.077659,1180,441,58,416,32,83,1100133,001-463
mixed - most recent,1.10009E+11,Maya Angelou Academy at New Beginnings formerly Oak Hill,MD,DYRS,High,Other/alternative school,No,39.101153,-76.787327,0,6,24.5,6,24.5,,1100213,4002-860
