year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,students_chronically_absent,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,grad_rate_midpt,school_id,seasch
mixed - most recent,1.10003E+11,Jefferson MS Academy,DC,District of Columbia Public Schools,Middle,Regular school,No,38.880066,-77.022977,125,317,37,320,21,,1100453,001-433
mixed - most recent,1.10003E+11,Johnson MS,DC,District of Columbia Public Schools,Middle,Regular school,No,38.851297,-76.983723,54,262,20,263,5,,1100144,001-416
mixed - most recent,1.10003E+11,Kelly Miller MS,DC,District of Columbia Public Schools,Middle,Regular school,No,38.893315,-76.932374,278,449,21,435,6,,1100272,001-421
mixed - most recent,1.10003E+11,Ketcham ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.866039,-76.983634,166,111,17,111,37,,1100176,001-257
mixed - most recent,1.10003E+11,Key ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.92682,-77.100651,37,156,77,156,82,,1100174,001-272
mixed - most recent,1.10003E+11,Kimball ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.883143,-76.957309,141,142,22,141,22,,1100173,001-259
mixed - most recent,1.10003E+11,King ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.842396,-76.99817,168,106,17,106,27,,1100102,001-344
mixed - most recent,1.1001E+11,Kingsman Academy PCS,DC,Kingsman Academy PCS,High,Regular school,Yes,38.895795,-76.986256,76,50,5,48,5,52,1100502,186-267
mixed - most recent,1.10003E+11,KIPP DC - AIM Academy PCS,DC,KIPP DC PCS,Middle,Regular school,Yes,38.856181,-76.988929,112,381,34,381,34,,1100381,129-116
mixed - most recent,1.10003E+11,KIPP DC - Arts and Technology Academy PCS,DC,KIPP DC PCS,Primary,Regular school,Yes,38.891978,-76.925058,37,,,,,,1100489,129-236
mixed - most recent,1.10003E+11,KIPP DC - College Preparatory PCS,DC,KIPP DC PCS,High,Regular school,Yes,38.909321,-76.994477,232,220,32,236,26,87,1100421,129-1123
mixed - most recent,1.10003E+11,KIPP DC - Connect Academy PCS,DC,KIPP DC PCS,Primary,Regular school,Yes,38.90744,-76.981461,27,,,,,,1100468,129-209
mixed - most recent,1.10003E+11,KIPP DC - Discover Academy PCS,DC,KIPP DC PCS,Primary,Regular school,Yes,38.856181,-76.988929,40,,,,,,1100427,129-1122
mixed - most recent,1.10003E+11,KIPP DC - Grow Academy PCS,DC,KIPP DC PCS,Primary,Regular school,Yes,38.91011,-77.018071,34,,,,,,1100432,129-1129
mixed - most recent,1.10003E+11,KIPP DC - Heights Academy PCS,DC,KIPP DC PCS,Primary,Regular school,Yes,38.856181,-76.988929,109,217,44,217,66,,1100452,129-3071
mixed - most recent,1.10003E+11,KIPP DC - Honor Academy PCS,DC,KIPP DC PCS,Middle,Regular school,Yes,38.841688,-76.994333,,,,,,,1100522,129-1085
mixed - most recent,1.10003E+11,KIPP DC - KEY Academy PCS,DC,KIPP DC PCS,Middle,Regular school,Yes,38.88251,-76.934221,73,331,46,331,34,,1100246,129-189
mixed - most recent,1.10003E+11,KIPP DC - Lead Academy PCS,DC,KIPP DC PCS,Primary,Regular school,Yes,38.91011,-77.018071,86,205,41,205,69,,1100463,129-190
mixed - most recent,1.10003E+11,KIPP DC - LEAP Academy PCS,DC,KIPP DC PCS,Prekindergarten,Regular school,Yes,38.88251,-76.934221,,,,,,,1100375,129-132
mixed - most recent,1.10003E+11,KIPP DC - Northeast Academy PCS,DC,KIPP DC PCS,Middle,Regular school,Yes,38.90744,-76.981461,46,315,32,315,21,,1100487,129-242
mixed - most recent,1.10003E+11,KIPP DC - Promise Academy PCS,DC,KIPP DC PCS,Primary,Regular school,Yes,38.88251,-76.934221,138,182,57,182,77,,1100419,129-1121
mixed - most recent,1.10003E+11,KIPP DC - Quest Academy PCS,DC,KIPP DC PCS,Primary,Regular school,Yes,38.891978,-76.925058,99,182,32,182,47,,1100488,129-237
mixed - most recent,1.10003E+11,KIPP DC - Somerset College Preparatory PCS,DC,KIPP DC PCS,High,Regular school,Yes,38.841688,-76.994333,,,,,,,1100523,129-1086
mixed - most recent,1.10003E+11,KIPP DC - Spring Academy PCS,DC,KIPP DC PCS,Primary,Regular school,Yes,38.90744,-76.981461,63,198,27,198,62,,1100469,129-214
mixed - most recent,1.10003E+11,KIPP DC - Valor Academy PCS,DC,KIPP DC PCS,Middle,Regular school,Yes,38.891978,-76.925058,25,325,34,325,15,,1100486,129-243
mixed - most recent,1.10003E+11,KIPP DC - WILL Academy PCS,DC,KIPP DC PCS,Middle,Regular school,Yes,38.91011,-77.018071,76,320,38,320,34,,1100376,129-121
mixed - most recent,1.10003E+11,Kramer MS,DC,District of Columbia Public Schools,Middle,Regular school,No,38.871282,-76.980233,84,165,7.5,170,2.5,,1100143,001-417
mixed - most recent,1.10003E+11,Lafayette ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.966611,-77.06809,44,325,79,325,82,,1100045,001-261
mixed - most recent,1.10003E+11,Langdon ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.924864,-76.97693,55,130,32,129,37,,1100044,001-262
mixed - most recent,1.10003E+11,Langley ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.91423,-77.005481,112,101,27,101,22,,1100445,001-370
mixed - most recent,1.10003E+11,LaSalle-Backus Education Campus,DC,District of Columbia Public Schools,Primary,Regular school,No,38.959982,-76.999882,89,204,32,204,18,,1100042,001-264
mixed - most recent,1.10003E+11,Latin American Montessori Bilingual PCS,DC,Latin American Montessori Bilingual PCS,Primary,Regular school,Yes,38.95098,-77.034071,32,130,57,130,37,,1100247,130-193
mixed - most recent,1.10003E+11,Lawrence E. Boone ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.872214,-76.974376,136,152,17,151,12,,1100161,001-291
mixed - most recent,1.10003E+11,Leckie Education Campus,DC,District of Columbia Public Schools,Primary,Regular school,No,38.828171,-77.013269,99,238,25,237,17,,1100041,001-266
